id,title,genres,year,genres_list,tag_soup
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995.0,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",adventure adventure adventure animation animation animation children children children comedy comedy comedy fantasy fantasy fantasy
2,Jumanji,Adventure|Children|Fantasy,1995.0,"['Adventure', 'Children', 'Fantasy']",adventure adventure adventure children children children fantasy fantasy fantasy
3,Grumpier Old Men,Comedy|Romance,1995.0,"['Comedy', 'Romance']",comedy comedy comedy romance romance romance
4,Waiting to Exhale,Comedy|Drama|Romance,1995.0,"['Comedy', 'Drama', 'Romance']",comedy comedy comedy drama drama drama romance romance romance
5,Father of the Bride Part II,Comedy,1995.0,['Comedy'],comedy comedy comedy
6,Heat,Action|Crime|Thriller,1995.0,"['Action', 'Crime', 'Thriller']",action action action crime crime crime thriller thriller thriller
7,Sabrina,Comedy|Romance,1995.0,"['Comedy', 'Romance']",comedy comedy comedy romance romance romance
8,Tom and Huck,Adventure|Children,1995.0,"['Adventure', 'Children']",adventure adventure adventure children children children
9,Sudden Death,Action,1995.0,['Action'],action action action
10,GoldenEye,Action|Adventure|Thriller,1995.0,"['Action', 'Adventure', 'Thriller']",action action action adventure adventure adventure thriller thriller thriller
11,"American President, The",Comedy|Drama|Romance,1995.0,"['Comedy', 'Drama', 'Romance']",comedy comedy comedy drama drama drama romance romance romance
12,Dracula: Dead and Loving It,Comedy|Horror,1995.0,"['Comedy', 'Horror']",comedy comedy comedy horror horror horror
13,Balto,Adventure|Animation|Children,1995.0,"['Adventure', 'Animation', 'Children']",adventure adventure adventure animation animation animation children children children
14,Nixon,Drama,1995.0,['Drama'],drama drama drama
15,Cutthroat Island,Action|Adventure|Romance,1995.0,"['Action', 'Adventure', 'Romance']",action action action adventure adventure adventure romance romance romance
16,Casino,Crime|Drama,1995.0,"['Crime', 'Drama']",crime crime crime drama drama drama
17,Sense and Sensibility,Drama|Romance,1995.0,"['Drama', 'Romance']",drama drama drama romance romance romance
18,Four Rooms,Comedy,1995.0,['Comedy'],comedy comedy comedy
19,Ace Ventura: When Nature Calls,Comedy,1995.0,['Comedy'],comedy comedy comedy
20,Money Train,Action|Comedy|Crime|Drama|Thriller,1995.0,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",action action action comedy comedy comedy crime crime crime drama drama drama thriller thriller thriller
21,Get Shorty,Comedy|Crime|Thriller,1995.0,"['Comedy', 'Crime', 'Thriller']",comedy comedy comedy crime crime crime thriller thriller thriller
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995.0,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",crime crime crime drama drama drama horror horror horror mystery mystery mystery thriller thriller thriller
23,Assassins,Action|Crime|Thriller,1995.0,"['Action', 'Crime', 'Thriller']",action action action crime crime crime thriller thriller thriller
24,Powder,Drama|Sci-Fi,1995.0,"['Drama', 'Sci-Fi']",drama drama drama sci-fi sci-fi sci-fi
25,Leaving Las Vegas,Drama|Romance,1995.0,"['Drama', 'Romance']",drama drama drama romance romance romance
26,Othello,Drama,1995.0,['Drama'],drama drama drama
27,Now and Then,Children|Drama,1995.0,"['Children', 'Drama']",children children children drama drama drama
28,Persuasion,Drama|Romance,1995.0,"['Drama', 'Romance']",drama drama drama romance romance romance
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995.0,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",adventure adventure adventure drama drama drama fantasy fantasy fantasy mystery mystery mystery sci-fi sci-fi sci-fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,1995.0,"['Crime', 'Drama']",crime crime crime drama drama drama
31,Dangerous Minds,Drama,1995.0,['Drama'],drama drama drama
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,1995.0,"['Mystery', 'Sci-Fi', 'Thriller']",mystery mystery mystery sci-fi sci-fi sci-fi thriller thriller thriller
34,Babe,Children|Drama,1995.0,"['Children', 'Drama']",children children children drama drama drama
36,Dead Man Walking,Crime|Drama,1995.0,"['Crime', 'Drama']",crime crime crime drama drama drama
